COG_letter	COG_description	COG_category	COG_number	annotation	cluster
G	Arabinogalactan endo-1,4-beta-galactosidase	Carbohydrate transport and metabolism	COG3867	G:[Carbohydrate transport and metabolism]	1
C	Inorganic pyrophosphatase/exopolyphosphatase	Energy production and conversion	COG1227	C:[Energy production and conversion]	1
C	Butyrate kinase	Energy production and conversion	COG3426	C:[Energy production and conversion]	1
S	Uncharacterized membrane protein YqgA/YdfK, affects biofilm formation, DUF554 family	Function unknown	COG1811	S:[Function unknown]	1
M	Capsular polysaccharide biosynthesis protein YveK	Cell wall/membrane/envelope biogenesis	COG3944	M:[Cell wall/membrane/envelope biogenesis]	1
P	K+/H+ antiporter KhtSTU, c-di-AMP-binding regulatory subunit KhtT, contains RCK_C (TrkA_C) domain	Inorganic ion transport and metabolism	COG0490	P:[Inorganic ion transport and metabolism]	1
L	ATP-dependent helicase/DNAse subunit B	Replication, recombination and repair	COG3857	L:[Replication, recombination and repair]	1
P	ABC-type cobalt transport system, periplasmic component	Inorganic ion transport and metabolism	COG1930	P:[Inorganic ion transport and metabolism]	1
Q	Cephalosporin-C deacetylase or related acetyl esterase	Secondary metabolites biosynthesis, transport and catabolism	COG3458	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
E	D-aminopeptidase	Amino acid transport and metabolism	COG2362	E:[Amino acid transport and metabolism]	1
X	Competence protein ComGC	Mobilome: prophages, transposons	COG4537	X:[Mobilome: prophages, transposons]	1
G	Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB	Carbohydrate transport and metabolism	COG3444	G:[Carbohydrate transport and metabolism]	1
E	Na+/glutamate symporter	Amino acid transport and metabolism	COG0786	E:[Amino acid transport and metabolism]	1
Q	Acetaldehyde dehydrogenase (acetylating)	Secondary metabolites biosynthesis, transport and catabolism	COG4569	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
T	PAS domain	Signal transduction mechanisms	COG2202	T:[Signal transduction mechanisms]	1
T	Hemerythrin	Signal transduction mechanisms	COG2703	T:[Signal transduction mechanisms]	1
L	Ribonuclease HIII	Replication, recombination and repair	COG1039	L:[Replication, recombination and repair]	1
P	Cation transport regulator ChaB	Inorganic ion transport and metabolism	COG4572	P:[Inorganic ion transport and metabolism]	1
Q	Propanediol utilization protein	Secondary metabolites biosynthesis, transport and catabolism	COG4869	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
T	Cyclic di-AMP receptor DarA/PstA	Signal transduction mechanisms	COG3870	T:[Signal transduction mechanisms]	1
C	Succinate-acetate transporter SatP	Energy production and conversion	COG1584	C:[Energy production and conversion]	1
L	Predicted ATPase SbcE/YhaN involved in DNA double-strand break repair, contains AAA domain	Replication, recombination and repair	COG4717	L:[Replication, recombination and repair]	1
F	Purine-nucleoside phosphorylase	Nucleotide transport and metabolism	COG0813	F:[Nucleotide transport and metabolism]	1
C	Peroxiredoxin family protein	Energy production and conversion	COG2210	C:[Energy production and conversion]	1
R	ABC-type uncharacterized transport system YnjBCD, periplasmic component	General function prediction only	COG4134	R:[General function prediction only]	1
Q	Thioesterase domain of type I polyketide synthase or non-ribosomal peptide synthetase	Secondary metabolites biosynthesis, transport and catabolism	COG3319	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
V	Antitoxin component of the RelBE or YafQ-DinJ toxin-antitoxin module	Defense mechanisms	COG3077	V:[Defense mechanisms]	1
S	Myosin-crossreactive antigen  (function unknown)	Function unknown	COG4716	S:[Function unknown]	1
R	Uncharacterized conserved protein, contains a NRPS condensation (elongation) domain	General function prediction only	COG4908	R:[General function prediction only]	1
C	Hydroxylamine reductase (hybrid-cluster protein)	Energy production and conversion	COG1151	C:[Energy production and conversion]	1
A	RNA 3'-terminal phosphate cyclase	RNA processing and modification	COG0430	A:[RNA processing and modification]	1
U	Type III secretion system effector YopM, contains leucine-rich repeats	Intracellular trafficking, secretion, and vesicular transport	COG4886	U:[Intracellular trafficking, secretion, and vesicular transport]	1
S	Uncharacterized membrane protein YecN, MAPEG domain	Function unknown	COG3788	S:[Function unknown]	1
M	Nickel-dependent lactate racemase	Cell wall/membrane/envelope biogenesis	COG3875	M:[Cell wall/membrane/envelope biogenesis]	1
F	NAD(P)H-hydrate repair enzyme Nnr, NAD(P)H-hydrate epimerase (NAXE) domain	Nucleotide transport and metabolism	COG0062	F:[Nucleotide transport and metabolism]	1
G	Mannosyl-3-phosphoglycerate phosphatase YedP/MpgP, HAD superfamily	Carbohydrate transport and metabolism	COG3769	G:[Carbohydrate transport and metabolism]	1
C	Fumarate reductase subunit C	Energy production and conversion	COG3029	C:[Energy production and conversion]	1
C	Fumarate reductase subunit D	Energy production and conversion	COG3080	C:[Energy production and conversion]	1
R	GTPase SAR1 family domain	General function prediction only	COG1100	R:[General function prediction only]	1
G	Alpha-amylase/alpha-mannosidase, GH57 family	Carbohydrate transport and metabolism	COG1449	G:[Carbohydrate transport and metabolism]	1
R	Predicted acyl-ACP reductase	General function prediction only	COG5322	R:[General function prediction only]	1
P	Dissimilatory sulfite reductase (desulfoviridin), alpha and beta subunits	Inorganic ion transport and metabolism	COG2221	P:[Inorganic ion transport and metabolism]	1
M	Peptidoglycan-binding domain, expansin YoaJ	Cell wall/membrane/envelope biogenesis	COG4305	M:[Cell wall/membrane/envelope biogenesis]	1
G	TPP-dependent 2-oxoacid decarboxylase, includes indolepyruvate decarboxylase	Carbohydrate transport and metabolism	COG3961	G:[Carbohydrate transport and metabolism]	1
C	Desulfoferrodoxin, superoxide reductase-like (SORL) domain	Energy production and conversion	COG2033	C:[Energy production and conversion]	1
E	Asparagine synthetase A	Amino acid transport and metabolism	COG2502	E:[Amino acid transport and metabolism]	1
C	Archaeal/vacuolar-type H+-ATPase subunit D/Vma8	Energy production and conversion	COG1394	C:[Energy production and conversion]	1
C	Archaeal/vacuolar-type H+-ATPase catalytic subunit A/Vma1	Energy production and conversion	COG1155	C:[Energy production and conversion]	1
C	Archaeal/vacuolar-type H+-ATPase subunit B/Vma2	Energy production and conversion	COG1156	C:[Energy production and conversion]	1
C	Archaeal/vacuolar-type H+-ATPase subunit F/Vma7	Energy production and conversion	COG1436	C:[Energy production and conversion]	1
C	Archaeal/vacuolar-type H+-ATPase subunit C/Vma6	Energy production and conversion	COG1527	C:[Energy production and conversion]	1
E	Aminopeptidase C	Amino acid transport and metabolism	COG3579	E:[Amino acid transport and metabolism]	1
Q	Propanediol dehydratase, large subunit	Secondary metabolites biosynthesis, transport and catabolism	COG4909	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
Q	Propanediol dehydratase, small subunit	Secondary metabolites biosynthesis, transport and catabolism	COG4910	Q:[Secondary metabolites biosynthesis, transport and catabolism]	1
H	ABC-type cobalamin transport system, permease component BtuC	Coenzyme transport and metabolism	COG4139	H:[Coenzyme transport and metabolism]	1
F	Aspartate carbamoyltransferase, regulatory subunit	Nucleotide transport and metabolism	COG1781	F:[Nucleotide transport and metabolism]	1
R	Predicted nucleotidyltransferase, MJ0604 family	General function prediction only	COG1708	R:[General function prediction only]	1
C	Archaeal/vacuolar-type H+-ATPase subunit E/Vma4	Energy production and conversion	COG1390	C:[Energy production and conversion]	1
P	Formate-dependent nitrite reductase, periplasmic cytochrome c552 subunit	Inorganic ion transport and metabolism	COG3303	P:[Inorganic ion transport and metabolism]	1
V	CRISPR-Cas system type III CSM-effector complex subunit Csm4, RAMP superfamily Cas5 group	Defense mechanisms	COG1567	V:[Defense mechanisms]	1
V	CRISPR-Cas system type III CSM-effector complex subunit Csm5, RAMP superfamily Cas7 group	Defense mechanisms	COG1332	V:[Defense mechanisms]	1
M	N-acetylneuraminic acid mutarotase	Cell wall/membrane/envelope biogenesis	COG3055	M:[Cell wall/membrane/envelope biogenesis]	1
E	Dipeptidase	Amino acid transport and metabolism	COG4690	E:[Amino acid transport and metabolism]	1
I	Activator of 2-hydroxyglutaryl-CoA dehydratase (HSP70-class ATPase domain)	Lipid transport and metabolism	COG1924	I:[Lipid transport and metabolism]	1
C	Mg2+/citrate symporter	Energy production and conversion	COG2851	C:[Energy production and conversion]	2
P	Siderophore synthetase component IucA/IucC/SbnC	Inorganic ion transport and metabolism	COG4264	P:[Inorganic ion transport and metabolism]	2
O	PepSY domain containing protein, regulator of zincin peptidase activity	Posttranslational modification, protein turnover, chaperones	COG3212	O:[Posttranslational modification, protein turnover, chaperones]	2
E	Branched-chain amino acid permease	Amino acid transport and metabolism	COG1114	E:[Amino acid transport and metabolism]	2
E	ABC-type histidine transport system, ATPase component	Amino acid transport and metabolism	COG4598	E:[Amino acid transport and metabolism]	2
E	Amino acid permease	Amino acid transport and metabolism	COG0833	E:[Amino acid transport and metabolism]	2
U	Type III secretion system pilotin YscW/InvH/MxiM, SctG/YbaY family	Intracellular trafficking, secretion, and vesicular transport	COG3126	U:[Intracellular trafficking, secretion, and vesicular transport]	2
E	Succinylglutamate desuccinylase	Amino acid transport and metabolism	COG2988	E:[Amino acid transport and metabolism]	2
P	ABC-type siderophore export system, fused ATPase and permease components	Inorganic ion transport and metabolism	COG4615	P:[Inorganic ion transport and metabolism]	2
L	Endonuclease I	Replication, recombination and repair	COG2356	L:[Replication, recombination and repair]	2
G	Phosphotransferase system, fructose-specific IIC component	Carbohydrate transport and metabolism	COG1299	G:[Carbohydrate transport and metabolism]	2
E	Succinylarginine dihydrolase	Amino acid transport and metabolism	COG3724	E:[Amino acid transport and metabolism]	2
I	Short chain fatty acids transporter	Lipid transport and metabolism	COG2031	I:[Lipid transport and metabolism]	2
L	DNA gyrase inhibitor GyrI/SbmC	Replication, recombination and repair	COG3449	L:[Replication, recombination and repair]	2
V	Tellurite resistance protein TehA and related permeases	Defense mechanisms	COG1275	V:[Defense mechanisms]	2
L	3-methylpurine DNA glycosylase AlkC	Replication, recombination and repair	COG4335	L:[Replication, recombination and repair]	2
M	Intermembrane transporter PqiABC subunit PqiB	Cell wall/membrane/envelope biogenesis	COG3008	M:[Cell wall/membrane/envelope biogenesis]	2
G	D-hexose-6-phosphate mutarotase	Carbohydrate transport and metabolism	COG0676	G:[Carbohydrate transport and metabolism]	2
X	Regulator of phage lambda lysogenization HflD, binds to CII and stimulates its degradation	Mobilome: prophages, transposons	COG2915	X:[Mobilome: prophages, transposons]	2
M	Murein tripeptide amidase MpaA	Cell wall/membrane/envelope biogenesis	COG2866	M:[Cell wall/membrane/envelope biogenesis]	2
J	23S rRNA C2498 (ribose-2'-O)-methylase RlmM	Translation, ribosomal structure and biogenesis	COG2933	J:[Translation, ribosomal structure and biogenesis]	2
S	Uncharacterized conserved protein YcgL, UPF0745 family	Function unknown	COG3100	S:[Function unknown]	2
J	16S rRNA G1207 or 23S rRNA G1835 methylase RsmC/RlmG	Translation, ribosomal structure and biogenesis	COG2813	J:[Translation, ribosomal structure and biogenesis]	2
L	DNA polymerase B elongation subunit	Replication, recombination and repair	COG0417	L:[Replication, recombination and repair]	2
J	mRNA-degrading endonuclease (mRNA interferase) HigB, toxic component of the HigAB toxin-antitoxin module	Translation, ribosomal structure and biogenesis	COG4680	J:[Translation, ribosomal structure and biogenesis]	2
G	Neutral trehalase	Carbohydrate transport and metabolism	COG1626	G:[Carbohydrate transport and metabolism]	2
R	Predicted RNA-binding protein YitL, contains S1 domains, virulence factor B family	General function prediction only	COG2996	R:[General function prediction only]	2
E	Acireductone dioxygenase (methionine salvage), cupin superfamily	Amino acid transport and metabolism	COG1791	E:[Amino acid transport and metabolism]	2
F	Ureidoglycolate hydrolase (allantoin degradation)	Nucleotide transport and metabolism	COG3194	F:[Nucleotide transport and metabolism]	2
C	Flavodoxin	Energy production and conversion	COG0716	C:[Energy production and conversion]	2
M	Autotransporter adhesin AidA	Cell wall/membrane/envelope biogenesis	COG3468	M:[Cell wall/membrane/envelope biogenesis]	2
G	Endo-1,4-beta-D-glucanase Y	Carbohydrate transport and metabolism	COG3405	G:[Carbohydrate transport and metabolism]	2
P	Voltage-gated potassium channel Kch	Inorganic ion transport and metabolism	COG1226	P:[Inorganic ion transport and metabolism]	2
M	Intermembrane transporter PqiABC lipoprotein subunit PqiC	Cell wall/membrane/envelope biogenesis	COG3009	M:[Cell wall/membrane/envelope biogenesis]	2
T	Isocitrate dehydrogenase kinase/phosphatase	Signal transduction mechanisms	COG4579	T:[Signal transduction mechanisms]	2
P	Periplasmic regulator RcnB of Ni and Co efflux	Inorganic ion transport and metabolism	COG5455	P:[Inorganic ion transport and metabolism]	2
E	YcsI protein, probably involved 5-oxoproline metabolism, UPF0317/DUF1446 family	Amino acid transport and metabolism	COG4336	E:[Amino acid transport and metabolism]	2
U	Heme exporter protein D	Intracellular trafficking, secretion, and vesicular transport	COG3114	U:[Intracellular trafficking, secretion, and vesicular transport]	2
O	Predicted ATP-dependent protease	Posttranslational modification, protein turnover, chaperones	COG1067	O:[Posttranslational modification, protein turnover, chaperones]	2
